銘柄コード,銘柄名,市場名,日経225採用銘柄
2193,クックパッド(株),東証1部,
2195,アミタホールディングス(株),東証JQG,
2196,(株)エスクリ,東証1部,
2198,アイ・ケイ・ケイ(株),東証1部,
2201,森永製菓(株),東証1部,
2204,(株)中村屋,東証1部,
2206,江崎グリコ(株),東証1部,
2207,名糖産業(株),東証1部,
2208,(株)ブルボン,東証2部,
2209,井村屋グループ(株),東証2部,
2211,(株)不二家,東証1部,
2212,山崎製パン(株),東証1部,
2215,第一屋製パン(株),東証1部,
2216,カンロ(株),東証2部,
2217,モロゾフ(株),東証1部,
2218,日糧製パン(株),札証,
2220,亀田製菓(株),東証1部,
2221,岩塚製菓(株),東証JQS,
2222,寿スピリッツ(株),東証1部,
2224,(株)コモ,東証JQS,
2226,(株)湖池屋,東証JQS,
2228,(株)シベール,東証JQS,
2229,カルビー(株),東証1部,
2264,森永乳業(株),東証1部,
2266,六甲バター(株),東証1部,
2267,(株)ヤクルト本社,東証1部,
2268,Ｂ?Ｒ　サーティワン　アイスクリーム(株),東証JQS,
2269,明治ホールディングス(株),東証1部,1
2270,雪印メグミルク(株),東証1部,
2281,プリマハム(株),東証1部,
2282,日本ハム(株),東証1部,1
2286,林兼産業(株),東証1部,
2288,丸大食品(株),東証1部,
2291,福留ハム(株),東証2部,
2292,Ｓ　ＦＯＯＤＳ(株),東証1部,
2293,滝沢ハム(株),東証JQS,
2294,(株)柿安本店,東証JQS,
2296,伊藤ハム米久ホールディングス(株),東証1部,
2300,(株)きょくとう,東証JQS,
2301,(株)学情,東証1部,
2303,(株)ドーン,東証JQS,
2304,(株)ＣＳＳホールディングス,東証JQS,
2305,(株)スタジオアリス,東証1部,
2307,(株)クロスキャット,東証JQS,
2309,シミックホールディングス(株),東証1部,
2311,(株)エプコ,東証JQS,
2315,(株)カイカ,東証JQS,
2317,(株)システナ,東証1部,
2321,(株)ソフトフロントホールディングス,東証JQG,
2323,(株)ｆｏｎｆｕｎ,東証JQS,
2325,(株)ＮＪＳ,東証1部,
2326,デジタルアーツ(株),東証1部,
2327,新日鉄住金ソリューションズ(株),東証1部,
2329,(株)東北新社,東証JQS,
2330,(株)フォーサイド,東証JQS,
2331,ＡＬＳＯＫ,東証1部,
2332,(株)クエスト,東証JQS,
2335,(株)キューブシステム,東証1部,
2337,いちご(株),東証1部,
2338,(株)ファステップス,東証2部,
